critYr,ptSexCd,19-29,30-39,40-49,50-59,60-69,70-
2002,F,0,6,10,8,5,0
2003,F,0,4,10,7,3,0
2003,M,0,0,0,0,0,0
2004,F,0,8,9,8,9,1
2005,F,0,5,9,8,6,1
2006,F,0,5,8,8,9,1
2006,M,0,0,0,1,0,0
2007,F,0,5,10,10,5,1
2007,M,0,0,1,0,0,0
2008,F,0,85,89,89,87,9
2008,M,0,3,2,7,10,1
2009,F,0,83,90,88,84,8
2009,M,0,2,7,3,7,1
2010,F,0,85,90,89,87,9
2010,M,0,2,7,8,3,0
2011,F,0,79,90,90,87,9
2011,M,0,1,4,6,3,1
2012,F,0,92,100,100,99,10
2012,M,0,1,1,8,5,1
2013,F,0,94,99,100,97,10
2013,M,0,1,8,7,5,0
2014,F,0,91,100,100,97,10
2014,M,0,1,9,3,8,0
2015,F,0,92,100,98,99,9
2015,M,0,3,4,6,2,0
2016,F,0,90,99,100,98,10
2016,M,0,2,3,9,10,0
2017,F,0,92,100,100,99,10
2017,M,0,4,6,2,9,0
2018,F,0,92,99,100,97,9
2018,M,0,1,5,9,11,1
2019,F,0,81,90,90,90,8
2019,M,0,2,3,12,10,1
2020,F,0,72,79,80,80,8
2020,M,0,1,1,5,7,0
2021,F,0,35,48,50,49,5
2021,M,0,0,3,4,1,0
